algo,host,iter,seed,n,avgDeg,alpha,PLE,T,R,TimeTotal,TimePoints,TimePrepro,TimeEdges,GenNumEdge,GenAvgDeg
hypergirgs,gluten,0,0,10000,10,0.6,2.2,0,19.2056,35.9761,1.76604,27.9546,6.20065,57690,11.538
hypergirgs,gluten,0,10,21544,10,0.6,2.2,0,20.8558,40.8263,2.38804,32.6597,5.70684,102298,9.49666
hypergirgs,gluten,0,20,46415,10,0.6,2.2,0,22.4896,32.3304,3.47306,21.6841,6.97815,207288,8.93194
hypergirgs,gluten,0,30,100000,10,0.6,2.2,0,24.112,26.6062,3.84512,15.3586,7.11479,486879,9.73758
hypergirgs,gluten,0,40,215443,10,0.6,2.2,0,25.7171,45.5487,4.31715,25.154,15.5334,1140184,10.5846
hypergirgs,gluten,0,50,464158,10,0.6,2.2,0,27.3193,86.9093,16.3387,42.0539,26.9928,2195569,9.46044
hypergirgs,gluten,0,60,1000000,10,0.6,2.2,0,28.9054,155.853,16.9041,64.65,68.7313,5043012,10.086
hypergirgs,gluten,0,70,2154434,10,0.6,2.2,0,30.488,372.669,59.0227,155.562,146.64,10468529,9.71812
hypergirgs,gluten,0,80,4641588,10,0.6,2.2,0,32.0655,692.161,130.533,265.066,279.311,23531453,10.1394
hypergirgs,gluten,0,90,10000000,10,0.6,2.2,0,33.6363,1462.62,309.489,551.085,570.488,48901431,9.78029
hypergirgs,gluten,0,100,21544346,10,0.6,2.2,0,35.2051,2766.95,534.221,1023.63,1111.78,105570162,9.80027
hypergirgs,gluten,0,110,46415888,10,0.6,2.2,0,36.7676,5663.83,1038.88,2127.19,2328.01,229055991,9.86972
hypergirgs,gluten,0,120,10000,100,0.6,2.2,0,14.0942,36.531,0.847747,26.7146,8.95865,476708,95.3416
hypergirgs,gluten,0,130,21544,100,0.6,2.2,0,15.8307,35.6996,4.81304,25.4574,5.42069,1029145,95.5389
hypergirgs,gluten,0,140,46415,100,0.6,2.2,0,17.531,14.0008,1.41679,4.14261,8.43284,2303397,99.2523
hypergirgs,gluten,0,150,100000,100,0.6,2.2,0,19.2046,24.071,1.79343,7.60613,14.6624,5226768,104.535
hypergirgs,gluten,0,160,215443,100,0.6,2.2,0,20.8564,41.3697,2.48755,13.1906,25.6818,11283423,104.746
hypergirgs,gluten,0,170,464158,100,0.6,2.2,0,22.4907,76.1019,5.07202,18.2288,50.1424,23376389,100.726
hypergirgs,gluten,0,180,1000000,100,0.6,2.2,0,24.1109,171.023,15.6424,53.0338,99.6447,47940824,95.8816
hypergirgs,gluten,0,190,2154434,100,0.6,2.2,0,25.7189,324.513,34.8462,68.8824,211.68,107819422,100.091
hypergirgs,gluten,0,200,4641588,100,0.6,2.2,0,27.3174,890.229,123.357,200.671,552.162,239081616,103.017
hypergirgs,gluten,0,210,10000000,100,0.6,2.2,0,28.9074,1723.97,256.226,388.089,1050.22,493683253,98.7367
hypergirgs,gluten,0,220,21544346,100,0.6,2.2,0,30.4901,3572.98,504.717,740.987,2263.42,1088225596,101.022
hypergirgs,gluten,0,230,46415888,100,0.6,2.2,0,32.0667,7566.66,1060,1723.11,4633.17,2330081296,100.4
hypergirgs,gluten,0,240,21544,1000,0.6,2.2,0,10.4538,50.2683,0.999869,22.8911,26.369,10320180,958.056
hypergirgs,gluten,0,250,46415,1000,0.6,2.2,0,12.309,62.0405,1.54011,21.1461,39.3463,21834170,940.824
hypergirgs,gluten,0,260,100000,1000,0.6,2.2,0,14.0941,90.4409,1.36442,14.7075,74.3604,48731461,974.629
