host,iter,algo,n,avgDeg,alpha,T,TimeTotal,GenNumEdge,GenAvgDeg
gluten,0,NkOpt,10000,10,0.6,0.0,58.9903,57852,11.5704
gluten,0,NkOpt,10000,10,0.6,0.0,30.603,69257,13.8514
gluten,0,NkOpt,21544,10,0.6,0.0,20.0146,114900,10.6665
gluten,0,NkOpt,46415,10,0.6,0.0,11.8741,217004,9.3506
gluten,0,NkOpt,100000,10,0.6,0.0,24.507,470334,9.40668
gluten,0,NkOpt,215443,10,0.6,0.0,51.6812,1090223,10.1208
gluten,0,NkOpt,464158,10,0.6,0.0,140.36,2334041,10.0571
gluten,0,NkOpt,1000000,10,0.6,0.0,277.758,4823332,9.64666
gluten,0,NkOpt,2154434,10,0.6,0.0,633.116,10308348,9.56943
gluten,0,NkOpt,4641588,10,0.6,0.0,1357.42,24756315,10.6672
gluten,0,NkOpt,10000000,10,0.6,0.0,2686.68,50081229,10.0162
gluten,0,NkOpt,21544346,10,0.6,0.0,5242.4,105094868,9.75614
gluten,0,NkOpt,46415888,10,0.6,0.0,11335.6,224097733,9.65608
gluten,0,NkOpt,100000000,10,0.6,0.0,25147,505639924,10.1128
gluten,0,NkOpt,10000,100,0.6,0.0,5.73459,445713,89.1426
gluten,0,NkOpt,10000,100,0.6,0.0,6.42097,459935,91.987
gluten,0,NkOpt,21544,100,0.6,0.0,11.8624,985242,91.4632
gluten,0,NkOpt,46415,100,0.6,0.0,23.6705,2325423,100.201
gluten,0,NkOpt,100000,100,0.6,0.0,45.5155,4943536,98.8707
gluten,0,NkOpt,215443,100,0.6,0.0,81.7406,9820869,91.1691
gluten,0,NkOpt,464158,100,0.6,0.0,209.374,22790722,98.2024
gluten,0,NkOpt,1000000,100,0.6,0.0,420.491,50527657,101.055
gluten,0,NkOpt,2154434,100,0.6,0.0,934.638,105871423,98.2824
gluten,0,NkOpt,4641588,100,0.6,0.0,2053.13,233603790,100.657
gluten,0,NkOpt,10000000,100,0.6,0.0,4249.11,497210576,99.4421
gluten,0,NkOpt,21544346,100,0.6,0.0,8859.08,1071490880,99.4684
gluten,0,NkOpt,46415888,100,0.6,0.0,19208.9,2296938046,98.9721
gluten,0,NkOpt,100000000,100,0.6,0.0,42323.2,5031445878,100.629
gluten,0,NkOpt,21544,1000,0.6,0.0,55.8006,9878565,917.06
gluten,0,NkOpt,46415,1000,0.6,0.0,102.089,21961155,946.296
gluten,0,NkOpt,100000,1000,0.6,0.0,194.799,50803327,1016.07
gluten,0,NkOpt,215443,1000,0.6,0.0,407.373,105039218,975.1
gluten,0,NkOpt,464158,1000,0.6,0.0,875.974,222140415,957.176
gluten,0,NkOpt,1000000,1000,0.6,0.0,1981.78,498817379,997.635
gluten,0,NkOpt,2154434,1000,0.6,0.0,4239.42,1075118733,998.052
gluten,0,NkOpt,4641588,1000,0.6,0.0,8684.82,2311966464,996.196
gluten,0,NkOpt,10000000,1000,0.6,0.0,18597.2,4935096661,987.019
gluten,0,NkOpt,21544346,1000,0.6,0.0,39727.4,10665937871,990.138
gluten,0,NkOpt,46415888,1000,0.6,0.0,86659.8,23202071917,999.747
gluten,0,NkOpt,100000000,1000,0.6,0.0,183607,49105505934,982.11
gluten,0,NkOpt,10000,10,1,0.0,3.50659,48757,9.7514
gluten,0,NkOpt,10000,10,1,0.0,3.459,48758,9.7516
gluten,0,NkOpt,21544,10,1,0.0,6.61768,108300,10.0538
gluten,0,NkOpt,46415,10,1,0.0,12.3748,228161,9.83135
gluten,0,NkOpt,100000,10,1,0.0,23.8802,492540,9.8508
gluten,0,NkOpt,215443,10,1,0.0,44.5914,1070075,9.93372
gluten,0,NkOpt,464158,10,1,0.0,109.006,2320707,9.99964
gluten,0,NkOpt,1000000,10,1,0.0,223.23,4975817,9.95163
gluten,0,NkOpt,2154434,10,1,0.0,490.492,10789419,10.016
gluten,0,NkOpt,4641588,10,1,0.0,1128.94,23143486,9.97223
gluten,0,NkOpt,10000000,10,1,0.0,2511.46,50000748,10.0001
gluten,0,NkOpt,21544346,10,1,0.0,5106.79,107612141,9.98983
gluten,0,NkOpt,46415888,10,1,0.0,10724.7,231763244,9.98638
gluten,0,NkOpt,100000000,10,1,0.0,24681.7,500974610,10.0195
gluten,0,NkOpt,10000,100,1,0.0,4.0848,480625,96.125
gluten,0,NkOpt,10000,100,1,0.0,6.58686,517683,103.537
gluten,0,NkOpt,21544,100,1,0.0,13.3459,1112368,103.265
